Titulo;Ano;Genero;Duracao;Diretor;Roteirista;Nota IMDB;Qtd Rev IMDB;Nota Metascore;Qtd Rev Metascore;Sinopse;Link
Filadelfia;1993;Drama;125;Jonathan Demme;Ron Nyswaner;7.7;198386;66;275;"
                    When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.
            ";http://www.imdb.com/title/tt0107818/?ref_=nm_flmg_act_36
Muito Barulho por Nada;1993;Comedy;111;Kenneth Branagh;William Shakespeare;7.4;40669;0;180;"
                    Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.
            ";http://www.imdb.com/title/tt0107616/?ref_=nm_flmg_act_37
Malcolm X;1992;Biography;202;Spike Lee;Alex Haley;7.7;71962;72;166;"
                    Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.
            ";http://www.imdb.com/title/tt0104797/?ref_=nm_flmg_act_38
Great Performances;0;Music;0;;;7.8;470;0;2;"
                    ""You Can't Take It With You"" is hailed one of the greatest revivals and filmed plays for PBS television. David Woods brought stunning charm, humor, and time to this Moss Hart masterpiece. ...
                    See full summary »
            ";http://www.imdb.com/title/tt0159876/?ref_=nm_flmg_act_39
Sem Limite para Vingar;1991;Action;102;Russell Mulcahy;Fred Dekker;6.1;14063;0;61;"
                    A District Attorney is terrorized by the criminal he put away years ago when he was a cop.
            ";http://www.imdb.com/title/tt0102789/?ref_=nm_flmg_act_40
Mississippi Masala;1991;Drama;118;Mira Nair;Sooni Taraporevala;6.6;4263;0;33;"
                    An Indian family is expelled from Uganda when Idi Amin takes power. They move to Mississippi and time passes. The Indian daughter falls in love with a black man, and the respective families...
                    See full summary »
            ";http://www.imdb.com/title/tt0102456/?ref_=nm_flmg_act_41
Mais e Melhores Blues;1990;Drama;129;Spike Lee;Spike Lee;6.6;9358;0;31;"
                    Jazz trumpeter Bleek Gilliam makes questionable decisions in his professional and romantic lives.
            ";http://www.imdb.com/title/tt0100168/?ref_=nm_flmg_act_42
Um Espirito Grudou em Mim;1990;Comedy;100;James D. Parriott;James D. Parriott;5.6;2744;0;14;"
                    A racist cop receives a heart transplant from a black lawyer he hates, who returns as a ghost to ask the cop to help take down the men who murdered him.
            ";http://www.imdb.com/title/tt0099750/?ref_=nm_flmg_act_43
Tempo de Gloria;1989;Biography;122;Edward Zwick;Kevin Jarre;7.9;110166;0;426;"
                    Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.
            ";http://www.imdb.com/title/tt0097441/?ref_=nm_flmg_act_44
O Poderoso Quinn;1989;Action;98;Carl Schenkel;Albert Z. Carr;6.1;4035;71;28;"
                    When police officer Xavier Quinn's childhood friend, Maubee, becomes associated with murder and a briefcase full of ten thousand dollar bills, The Mighty Quinn must clear his name. Or try to catch him, which could be even trickier.
            ";http://www.imdb.com/title/tt0097880/?ref_=nm_flmg_act_45
